SensorID,TestSequence,Voltage,TubeCurrent,rho_dark_all,rho_Xray_all,rho_net_all,mu_tau_h_all,Int_E_dark,Int_E_Xray,Missing_voltage
D325145,2,700,25,-44536279220.14915,22769560090.10221,67305839310.25137,0.00017947336268325266,710.173026546281,671.7423557369862,38.43067080929484
D325145,3,500,0,-49888967833.32238,,,,504.267608870537,,
D325145,3,500,7,-49888967833.32238,16528085049.058086,66417052882.38047,0.00015848931924611142,504.267608870537,480.61085672496046,23.656752145576547
D325145,3,500,25,-49888967833.32238,18707680535.89805,68596648369.22044,0.0001517050367459337,504.267608870537,479.85952257927477,24.408086291262237
D325145,3,700,0,-53319908810.76308,,,,705.6459724118386,,
D325145,3,700,7,-53319908810.76308,20426457444.07788,73746366254.84097,0.0001651961798229015,705.6459724118386,670.4373092998524,35.2086631119862
D325145,3,700,25,-53319908810.76308,24508298337.561916,77828207148.325,0.0001534616982799294,705.6459724118386,667.7212934865441,37.924678925294415
D325145,4,500,0,-41147809235.43968,,,,405.79155915669384,,
D325145,4,500,7,-41147809235.43968,51627687410.30012,92775496645.73979,0.00014321878992735424,405.79155915669384,245.21605751295556,160.57550164373828
D325145,4,500,25,-41147809235.43968,55121031124.85385,96268840360.29355,0.00013489628825916533,405.79155915669384,240.65903795573752,165.13252120095632
D325145,4,700,0,-57464910698.396935,,,,708.0175428506207,,
D325145,4,700,7,-57464910698.396935,39091369754.25177,96556280452.64871,0.00010715193052376071,708.0175428506207,483.5511244167589,224.46641843386175
D325145,4,700,25,-57464910698.396935,44441347420.883354,101906258119.2803,0.00010256519262514079,708.0175428506207,465.6777036464339,242.33983920418677
D325145,5,500,0,-31178889009.260475,,,,487.4878371887711,,
D325145,5,500,7,-31178889009.260475,63078017539.85049,94256906549.11096,0.00013551894123510364,487.4878371887711,266.8111132591159,220.67672392965517
D325145,5,500,25,-31178889009.260475,69548048147.15184,100726937156.41232,0.00012912192736135334,487.4878371887711,298.0150334079246,189.4728037808465
D325145,5,700,0,-51243898507.91693,,,,787.0541387974575,,
D325145,5,700,7,-51243898507.91693,51338488808.914185,102582387316.83112,9.225714271547629e-05,787.0541387974575,575.292555866565,211.7615829308926
D325145,5,700,25,-51243898507.91693,57414010121.06186,108657908628.97879,8.912509381337459e-05,787.0541387974575,552.6853977239437,234.3687410735139
D325145,6,500,0,-56470486450.24267,,,,433.44788864710233,,
D325145,6,500,7,-56470486450.24267,56834196041.33005,113304682491.57272,0.00010889300933334333,433.44788864710233,255.0911170933946,178.35677155370774
D325145,6,500,25,-56470486450.24267,65522469527.337006,121992955977.57968,0.00010023052380779004,433.44788864710233,280.7666558633056,152.68123278379676
D325145,6,700,0,-51616712216.78264,,,,766.9163309210658,,
